match_id,team_id,scope_id,short_name,competition_id,season_id,competition_name,statsbomb_competition_name,season_name,match_date,kick_off,match_week,competition_stage_name,stadium_id,stadium_name,stadium_country_id,stadium_country_name,home_team_id,home_team_name,away_team_id,away_team_name,home_score,away_score,team_name,opponent_team_id,opponent_team_name,is_home,team_score,opponent_score,goal_diff,match_result,xg,shots,xg_per_shot,passes,successful_passes,pass_completion_rate,pressures,counterpressures,duels,carries,long_balls,long_ball_share,opponent_xg,opponent_shots,opponent_xg_per_shot,opponent_passes,opponent_successful_passes,opponent_pass_completion_rate,opponent_pressures,opponent_counterpressures,opponent_duels,opponent_carries,opponent_long_balls,opponent_long_ball_share,weather_match_date,weather_kick_off,kickoff_timestamp,weather_time,hours_from_kickoff,weather_lookup_key,weather_stadium_id,weather_stadium_name,weather_city_name,weather_country_name,latitude,longitude,openmeteo_timezone,temperature_c,feels_like_c,precipitation_mm,rain_mm,rain_flag,temperature_group,weather_missing_flag,kafka_topic,kafka_partition,kafka_offset,kafka_timestamp,elo_team_match_team_name,elo_team_match_opponent_name,team_elo,team_elo_match_date,team_elo_team_name,team_elo_team_code,team_elo_source_page,opponent_elo,opponent_elo_match_date,opponent_elo_team_name,opponent_elo_team_code,opponent_elo_source_page,elo_diff,elo_group,elo_missing_reason,weather_join_missing,elo_join_missing,weather_date_matches_statsbomb,weather_stadium_matches_statsbomb,elo_team_name_matches_statsbomb,elo_opponent_name_matches_statsbomb
7533,781,world_cup_2018,WM 2018,43,3,FIFA World Cup,FIFA World Cup,2018,2018-06-17,18:00:00.000,1,Group Stage,256,Rostov Arena,188,Russia,781,Brazil,773,Switzerland,1,1,Brazil,773,Switzerland,True,1,1,0,draw,1.8665897939999998,21,0.08888522828571428,555,473,0.8522522522522522,234,49,16,535,81,0.14594594594594595,0.4721066513,7,0.06744380732857143,458,363,0.7925764192139738,266,34,24,397,84,0.18340611353711792,2018-06-17,18:00:00.000,2018-06-17 18:00:00,2018-06-17 18:00:00,0.0,2018-06-17__47.21997__39.70769,256,Rostov Arena,Rostov-on-Don,Russia,47.21997,39.70769,Europe/Moscow,25.6,21.6,0.0,0.0,False,warm,False,weather.observations,0,5,2026-07-01 12:58:12.122,Brazil,Switzerland,2141,2018-06-17,Brazil,BR,Brazil,1888,2018-06-17,Switzerland,CH,Brazil,253,favorite,none,False,False,True,True,True,True
7533,773,world_cup_2018,WM 2018,43,3,FIFA World Cup,FIFA World Cup,2018,2018-06-17,18:00:00.000,1,Group Stage,256,Rostov Arena,188,Russia,781,Brazil,773,Switzerland,1,1,Switzerland,781,Brazil,False,1,1,0,draw,0.4721066513,7,0.06744380732857143,458,363,0.7925764192139738,266,34,24,397,84,0.18340611353711792,1.8665897939999998,21,0.08888522828571428,555,473,0.8522522522522522,234,49,16,535,81,0.14594594594594595,2018-06-17,18:00:00.000,2018-06-17 18:00:00,2018-06-17 18:00:00,0.0,2018-06-17__47.21997__39.70769,256,Rostov Arena,Rostov-on-Don,Russia,47.21997,39.70769,Europe/Moscow,25.6,21.6,0.0,0.0,False,warm,False,weather.observations,0,5,2026-07-01 12:58:12.122,Switzerland,Brazil,1888,2018-06-17,Switzerland,CH,Brazil,2141,2018-06-17,Brazil,BR,Brazil,-253,underdog,none,False,False,True,True,True,True
7534,770,world_cup_2018,WM 2018,43,3,FIFA World Cup,FIFA World Cup,2018,2018-06-17,15:00:00.000,1,Group Stage,255,Stadion Luzhniki,188,Russia,770,Germany,794,Mexico,0,1,Germany,794,Mexico,True,0,1,-1,loss,2.2992588492,26,0.08843303266153847,619,521,0.8416801292407108,165,28,22,527,109,0.17609046849757673,0.9932887670000001,12,0.08277406391666668,324,247,0.7623456790123457,324,34,26,290,81,0.25,2018-06-17,15:00:00.000,2018-06-17 15:00:00,2018-06-17 15:00:00,0.0,2018-06-17__55.75204__37.61781,255,Stadion Luzhniki,Moscow,Russia,55.75204,37.61781,Europe/Moscow,25.3,23.3,0.0,0.0,False,warm,False,weather.observations,0,6,2026-07-01 12:58:12.122,Germany,Mexico,2076,2018-06-17,Germany,DE,Germany,1849,2018-06-17,Mexico,MX,Germany,227,favorite,none,False,False,True,True,True,True
7534,794,world_cup_2018,WM 2018,43,3,FIFA World Cup,FIFA World Cup,2018,2018-06-17,15:00:00.000,1,Group Stage,255,Stadion Luzhniki,188,Russia,770,Germany,794,Mexico,0,1,Mexico,770,Germany,False,1,0,1,win,0.9932887670000001,12,0.08277406391666668,324,247,0.7623456790123457,324,34,26,290,81,0.25,2.2992588492,26,0.08843303266153847,619,521,0.8416801292407108,165,28,22,527,109,0.17609046849757673,2018-06-17,15:00:00.000,2018-06-17 15:00:00,2018-06-17 15:00:00,0.0,2018-06-17__55.75204__37.61781,255,Stadion Luzhniki,Moscow,Russia,55.75204,37.61781,Europe/Moscow,25.3,23.3,0.0,0.0,False,warm,False,weather.observations,0,6,2026-07-01 12:58:12.122,Mexico,Germany,1849,2018-06-17,Mexico,MX,Germany,2076,2018-06-17,Germany,DE,Germany,-227,underdog,none,False,False,True,True,True,True
7535,795,world_cup_2018,WM 2018,43,3,FIFA World Cup,FIFA World Cup,2018,2018-06-17,12:00:00.000,1,Group Stage,118023,Solidarnost Arena,188,Russia,795,Costa Rica,786,Serbia,0,1,Costa Rica,786,Serbia,True,0,1,-1,loss,0.5960217237,10,0.05960217237,481,376,0.7817047817047817,97,19,27,363,105,0.2182952182952183,1.9925690040000001,12,0.166047417,439,335,0.7630979498861048,126,23,34,338,96,0.21867881548974943,2018-06-17,12:00:00.000,2018-06-17 12:00:00,2018-06-17 12:00:00,0.0,2018-06-17__53.20767__50.13553,118023,Solidarnost Arena,Samara,Russia,53.20767,50.13553,Europe/Samara,21.4,19.7,0.0,0.0,False,warm,False,weather.observations,0,7,2026-07-01 12:58:12.122,Costa Rica,Serbia,1742,2018-06-17,Costa Rica,CR,Costa_Rica,1788,2018-06-17,Serbia,RS,Costa_Rica,-46,balanced,none,False,False,True,True,True,True
7535,786,world_cup_2018,WM 2018,43,3,FIFA World Cup,FIFA World Cup,2018,2018-06-17,12:00:00.000,1,Group Stage,118023,Solidarnost Arena,188,Russia,795,Costa Rica,786,Serbia,0,1,Serbia,795,Costa Rica,False,1,0,1,win,1.9925690040000001,12,0.166047417,439,335,0.7630979498861048,126,23,34,338,96,0.21867881548974943,0.5960217237,10,0.05960217237,481,376,0.7817047817047817,97,19,27,363,105,0.2182952182952183,2018-06-17,12:00:00.000,2018-06-17 12:00:00,2018-06-17 12:00:00,0.0,2018-06-17__53.20767__50.13553,118023,Solidarnost Arena,Samara,Russia,53.20767,50.13553,Europe/Samara,21.4,19.7,0.0,0.0,False,warm,False,weather.observations,0,7,2026-07-01 12:58:12.122,Serbia,Costa Rica,1788,2018-06-17,Serbia,RS,Costa_Rica,1742,2018-06-17,Costa Rica,CR,Costa_Rica,46,balanced,none,False,False,True,True,True,True
7536,782,world_cup_2018,WM 2018,43,3,FIFA World Cup,FIFA World Cup,2018,2018-06-18,15:00:00.000,1,Group Stage,249,Olimpiyskiy Stadion Fisht,188,Russia,782,Belgium,798,Panama,3,0,Belgium,798,Panama,True,3,0,3,win,1.212055155,15,0.080803677,610,513,0.840983606557377,192,41,23,544,96,0.15737704918032788,0.62535498,7,0.08933642571428571,364,284,0.7802197802197802,237,38,29,298,85,0.23351648351648352,2018-06-18,15:00:00.000,2018-06-18 15:00:00,2018-06-18 15:00:00,0.0,2018-06-18__43.59699__39.72477,249,Olimpiyskiy Stadion Fisht,Sochi,Russia,43.59699,39.72477,Europe/Moscow,24.6,27.7,1.5,1.5,True,warm,False,weather.observations,0,8,2026-07-01 12:58:12.122,Belgium,Panama,1935,2018-06-18,Belgium,BE,Belgium,1657,2018-06-18,Panama,PA,Belgium,278,favorite,none,False,False,True,True,True,True
7536,798,world_cup_2018,WM 2018,43,3,FIFA World Cup,FIFA World Cup,2018,2018-06-18,15:00:00.000,1,Group Stage,249,Olimpiyskiy Stadion Fisht,188,Russia,782,Belgium,798,Panama,3,0,Panama,782,Belgium,False,0,3,-3,loss,0.62535498,7,0.08933642571428571,364,284,0.7802197802197802,237,38,29,298,85,0.23351648351648352,1.212055155,15,0.080803677,610,513,0.840983606557377,192,41,23,544,96,0.15737704918032788,2018-06-18,15:00:00.000,2018-06-18 15:00:00,2018-06-18 15:00:00,0.0,2018-06-18__43.59699__39.72477,249,Olimpiyskiy Stadion Fisht,Sochi,Russia,43.59699,39.72477,Europe/Moscow,24.6,27.7,1.5,1.5,True,warm,False,weather.observations,0,8,2026-07-01 12:58:12.122,Panama,Belgium,1657,2018-06-18,Panama,PA,Belgium,1935,2018-06-18,Belgium,BE,Belgium,-278,underdog,none,False,False,True,True,True,True
7537,777,world_cup_2018,WM 2018,43,3,FIFA World Cup,FIFA World Cup,2018,2018-06-18,18:00:00.000,1,Group Stage,4257,Volgograd Arena,188,Russia,777,Tunisia,768,England,1,2,Tunisia,768,England,True,1,2,-1,loss,0.945653212,6,0.15760886866666665,368,285,0.7744565217391305,265,36,36,325,77,0.20923913043478262,2.626449744999999,18,0.14591387472222217,570,484,0.8491228070175438,188,45,14,475,124,0.21754385964912282,2018-06-18,18:00:00.000,2018-06-18 18:00:00,2018-06-18 18:00:00,0.0,2018-06-18__48.71378__44.4976,4257,Volgograd Arena,Volgograd,Russia,48.71378,44.4976,Europe/Volgograd,27.1,23.4,0.0,0.0,False,warm,False,weather.observations,0,9,2026-07-01 12:58:12.122,Tunisia,England,1651,2018-06-18,Tunisia,TN,England,1947,2018-06-18,England,EN,England,-296,underdog,none,False,False,True,True,True,True
7537,768,world_cup_2018,WM 2018,43,3,FIFA World Cup,FIFA World Cup,2018,2018-06-18,18:00:00.000,1,Group Stage,4257,Volgograd Arena,188,Russia,777,Tunisia,768,England,1,2,England,777,Tunisia,False,2,1,1,win,2.626449744999999,18,0.14591387472222217,570,484,0.8491228070175438,188,45,14,475,124,0.21754385964912282,0.945653212,6,0.15760886866666665,368,285,0.7744565217391305,265,36,36,325,77,0.20923913043478262,2018-06-18,18:00:00.000,2018-06-18 18:00:00,2018-06-18 18:00:00,0.0,2018-06-18__48.71378__44.4976,4257,Volgograd Arena,Volgograd,Russia,48.71378,44.4976,Europe/Volgograd,27.1,23.4,0.0,0.0,False,warm,False,weather.observations,0,9,2026-07-01 12:58:12.122,England,Tunisia,1947,2018-06-18,England,EN,England,1651,2018-06-18,Tunisia,TN,England,296,favorite,none,False,False,True,True,True,True
